Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Nano model shoulder bag in black calfskin, gold and black enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 130 mm high x 170 mm wide x 60 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002295,"1,790","Shoulder Bag, Nano, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Simple card holder in leaf green dots calfskin. Exterior: printed double C logo, gold-finish metal corners, two credit card pockets, one flat pocket. Dimensions: height 70 mm x width 110 mm.",,aeid5482 ,£,L3001959,215,"Simple card holder, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small model chain bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002305,"2,470","Chain bag  small model, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small model chain bag in dark green calfskin, gold and dark green enamel-finish clasp, golden hot-stamped “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002368,"2,470","Chain bag small model, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini model shoulder bag in black calfskin, gold and black enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002289,"2,090","Shoulder Bag, Mini, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Black calfskin passport holder. Exterior: embossed double C logo, stainless steel metallic-finished corners. Interior: burgundy calfskin, silver Cartier marking, three credit card slots, two flat pockets. Dimensions: 137 mm high x 100 mm wide.",,aeid5482 ,£,L3001656,310,"Passport Holder, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini model shoulder bag in dark green calfskin, gold and dark green enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 160 mm high x 190 mm wide x 70 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002345,"2,090","Mini model shoulder bag, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini model chain bag in dark green calfskin, gold and dark green enamel-finish clasp, golden hot-stamped “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002367,"2,170","Mini model chain bag, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Must de Cartier pouch in taupe calfskin, large model. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket, detachable handle. Interior: black fabric lining, one zipped pocket, one flat pocket with embossed silver-coloured Cartier signature. Dimensions: 250 mm high x 350 mm wide x 40 mm deep. Hand and wrist carry with detachable handle.",,aeid5482 ,£,L1002349,"1,070","Pouch large model, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier mini wallet in dark green calfskin, gold and dark green enamel-finish “Cartier” signature. Interior: black calfskin, one gusset, four credit card slots, one zipped pocket, one flat pocket, golden hot-stamped “Cartier” signature. Dimensions: 85 mm high x 110 mm wide.",,aeid5482 ,£,L3001986,530,"Mini wallet, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Must de Cartier document holder in taupe calfskin, small model. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket. Interior: black fabric lining, one laptop compartment, one zipped pocket, two additional compartments. Embossed silver-coloured Cartier signature. Dimensions: 270 mm high x 350 mm wide x 60 mm deep. Hand and shoulder carry with adjustable and detachable strap.",,aeid5482 ,£,L1002348,"2,040","Document holder small model, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Four-credit card holder in smooth and grained ash grey marquetry calfskin. Exterior: embossed double C logo, ruthenium metal corners. Interior: ash grey calfskin, silver-coloured Cartier marking, four credit card slots, three flat pockets. Dimensions: 107 mm high x 71 mm wide",,aeid5482 ,£,L3001954,340,Must de Cartier 4-card holder,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini model chain bag in pale pink calfskin, gold and pale pink enamel-finish clasp, silver hot-stamped “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002370,"2,170","Mini model chain bag, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Six-credit card wallet in ash grey calfskin. Exterior: embossed double C logo, palladium-finish metal corners. Interior: ash grey calfskin, silver-coloured Cartier marking, six credit card slots, two banknote pocket. Dimensions: 91 mm high x 119 mm wide.",,aeid5482 ,£,L3001952,410,Must de Cartier 6-credit card wallet,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Ash grey calfskin credit/business card holder. Exterior: embossed double C logo, palladium-finish metal corners. Interior: ash grey calfskin, silver-coloured Cartier marking, two credit card pockets, one flat pocket, one gusseted pocket. Dimensions: 112 mm high x 78 mm wide.",,aeid5482 ,£,L3001951,315,Must de Cartier credit/business card holder,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
